Column1,productname,productsubname,productprice,productactualprice,Discount
0,Deadpool: Kill For Tacos,T-Shirts,799,799,0.00%
1,Harry Potter: Hogwarts,Zipper Polos,1299,1299,0.00%
2,Naruto: Yin-Yang,Oversized T-Shirts,899,899,0.00%
3,Naruto: Itachi Uchiha,Oversized T-Shirts,1049,1049,0.00%
4,Baki Hanma: You Shouldn't Have,Oversized T-Shirts,1299,1299,0.00%
5,Harry Potter: Slytherin,T-Shirts,599,599,0.00%
6,Deadpool: Anti-Hero,Oversized T-Shirts,1399,1399,0.00%
7,Transformers: Bumblebee,Oversized T-Shirts,949,949,0.00%
8,Baki Hanma: The Strongest,Oversized T-Shirts,999,999,0.00%
9,Black Panther: Wakanda Forever,Zipper Polos,999,999,0.00%
10,Marvel: Loki God Of Mischief,Zipper Polos,999,999,0.00%
11,Punisher: It's Time,T-Shirts,749,749,0.00%
12,Punisher: Skull,Zipper Polos,999,999,0.00%
13,Solids: Regal Black,Oversized Polos,1299,1299,0.00%
14,Superman: Man Of Steel,Polos,1299,1299,0.00%
15,TSS Originals: Cadmium,Zipper Polos,1049,1049,0.00%
16,TSS Originals: Kale,Hooded T-Shirts,1499,1499,0.00%
17,Top Gun: 1986,Polos,1299,1299,0.00%
18,Jungle Book: Jungle Tales,Oversized T-Shirts,899,899,0.00%
19,Solids: Yellow,Oversized T-Shirts,699,999,30.03%
20,Harry Potter: Death Eater,Oversized T-Shirts,999,999,0.00%
21,Punisher: Classic Logo,T-Shirts,549,699,21.46%
22,TSS Originals: Fusion Bandana,Oversized T-Shirts,949,949,0.00%
23,Punisher: Cold Fury,Oversized T-Shirts,1049,1049,0.00%
24,Naruto: Sasuke,Oversized Full Sleeve T-Shirts,999,999,0.00%
25,Tie-Dye: Grape Wine,Oversized Full Sleeve T-Shirts,999,999,0.00%
26,Batman: 3D Logo,T-Shirts,799,799,0.00%
27,Solids: Black & White Colourblock,Polos,999,999,0.00%
28,The Godfather: Corleone,T-Shirts,799,799,0.00%
29,Joker: Forever Evil,Oversized T-Shirts,999,999,0.00%
30,DC: Batman Logo,Drop Cut T-Shirts,899,899,0.00%
31,Solids: Electric Blue,Oversized T-Shirts,699,699,0.00%
32,TSS Originals: Cactus,Oversized T-Shirts,899,899,0.00%
33,TSS Originals: Poster,Oversized T-Shirts,1049,1049,0.00%
34,Looney Tunes: The Coyote,T-Shirts,649,649,0.00%
35,The Office: I Manage,T-Shirts,699,699,0.00%
36,Classic Sustainable Tee: Wine,T-Shirts,599,599,0.00%
37,Courage: Kinda Antisocial,T-Shirts,799,799,0.00%
38,Harry Potter: Gryffindor Rugby Set,Hooded T-Shirts,1299,1299,0.00%
39,TSS Originals: Sphinx,Oversized Full Sleeve T-Shirts,1299,1299,0.00%
40,Deadpool: Action Packed,Oversized T-Shirts,1199,1199,0.00%
41,Classic Sustainable Tee: Emerald Green,T-Shirts,549,699,21.46%
42,Solids: Eggshell White,Oversized T-Shirts,899,899,0.00%
43,Solids: Black,Oversized T-Shirts,799,999,20.02%
44,Minions: Procrastinator,T-Shirts,649,649,0.00%
45,Batman: Wayne Industries,Drop Cut T-Shirts,749,749,0.00%
46,F.R.I.E.N.D.S: How You Doin,T-Shirts,849,849,0.00%
47,Marvel: Deadly Duo,Hooded T-Shirts,1299,1299,0.00%
48,Tom & Jerry: Munching Mischief,Oversized T-Shirts,999,999,0.00%
49,TSS Originals: Street Division,Men Rugby Polos,1299,1299,0.00%
50,Solids: White,T-Shirts,499,499,0.00%
51,Solids: Black,T-Shirts,599,599,0.00%
52,TSS Originals: Antique Red,Oversized Polos,1249,1249,0.00%
53,TSS Originals: Cinnamon,Zipper Polos,999,999,0.00%
54,Bugs Bunny: Dayum,Oversized T-Shirts,1049,1049,0.00%
55,Harry Potter: Slytherin Gang,Oversized T-Shirts,999,999,0.00%
56,Black Panther: Panther Power,Oversized T-Shirts,1049,1049,0.00%
57,Popeye: Spinach Power,Oversized T-Shirts,999,999,0.00%
58,Garfield: Guarding Me?,Hooded T-Shirts,999,1399,28.59%
59,Classic Sustainable Tee: Coffee Brown,T-Shirts,599,599,0.00%
60,Rick & Morty: Wubba Lubba Dub Dub,Oversized T-Shirts,1049,1049,0.00%
61,Marvel: Superhero Shades,Zipper Polos,1049,1049,0.00%
62,Wolverine: Clawed,T-Shirts,999,999,0.00%
63,Deadpool: Let's Kick Bad Guys,T-Shirts,699,699,0.00%
64,Lord Of The Rings: You Shall Not Pass,Oversized T-Shirts,949,949,0.00%
65,TSS Originals: Chillin',Oversized T-Shirts,949,949,0.00%
66,Supima: Dark Grey,Supima T-Shirts,999,999,0.00%
67,Disney: Bare Necessities,T-Shirts,599,599,0.00%
68,TSS Originals: Shroomy Vibes,Oversized T-Shirts,899,899,0.00%
69,Solids: Rouge Red,Oversized T-Shirts,999,999,0.00%
70,Richie Rich: Exact Change,Oversized T-Shirts,999,999,0.00%
71,Solids: Denim Blue,Oversized T-Shirts,549,999,45.05%
72,Solids: Mossy Green,T-Shirts,599,599,0.00%
73,Deadpool: Self-Love,Oversized T-Shirts,1049,1049,0.00%
74,One Piece: Going Merry,Oversized T-Shirts,1249,1249,0.00%
75,TSS Originals: In Spirit,Oversized T-Shirts,1299,1299,0.00%
76,Tom & Jerry: Toasted,Oversized T-Shirts,1199,1199,0.00%
77,Spider-Man: Miles Logo,T-Shirts,549,549,0.00%
78,Solids: Berry Blue,Oversized Polos,1299,1299,0.00%
79,Solids: Navy Blue,Oversized T-Shirts,899,899,0.00%
80,Popeye: Seas The Day,Oversized T-Shirts,1499,1499,0.00%
81,Supima: Wine Red,Supima T-Shirts,999,999,0.00%
82,The Godfather: Honor,Oversized Full Sleeve T-Shirts,899,899,0.00%
83,Kung Fu Panda: Back Off,Oversized T-Shirts,999,999,0.00%
84,Solids: Vintage Blue,T-Shirts,599,599,0.00%
85,TSS Originals: Blue Melange,Men Full Sleeve T-Shirts,999,999,0.00%
86,Solids: Emerald Green,Oversized T-Shirts,899,899,0.00%
87,Deadpool: Let's Go!,Oversized T-Shirts,1049,1049,0.00%
88,Peanuts: Snoopy Sketch,Oversized T-Shirts,999,999,0.00%
89,Solids: Black (Oversized),Oversized Full Sleeve T-Shirts,999,999,0.00%
90,Solids: Berry,Oversized T-Shirts,999,999,0.00%
91,ISRO: An Endless Adventure,T-Shirts,499,699,28.61%
92,TSS Originals: Spirit Mosaic,Oversized T-Shirts,1299,1299,0.00%
93,Solids: Aster,Polos,899,899,0.00%
94,Solids: Brown Sugar,Oversized T-Shirts,799,999,20.02%
95,Supima: Deep Brown,Supima T-Shirts,999,999,0.00%
96,The Boys: Doodle,Oversized T-Shirts,899,899,0.00%
97,Disney: Goofy The Goof,Oversized T-Shirts,999,999,0.00%
98,Solids: Sky Blue,T-Shirts,349,599,41.74%
99,The Godfather: Five Families,T-Shirts,849,849,0.00%
100,Solids: Quince,Oversized T-Shirts,899,899,0.00%
101,Spider-Man: Radioactive,Oversized Full Sleeve T-Shirts,999,999,0.00%
102,TSS Originals: Made By Humans,Hooded T-Shirts,1499,1499,0.00%
103,Jurassic Park: Logo,Oversized T-Shirts,1049,1049,0.00%
104,Supima: Charcoal Grey,Supima T-Shirts,999,999,0.00%
105,TSS Originals: Trippy Blaze,Oversized Full Sleeve T-Shirts,999,999,0.00%
106,Peanuts: Reckless,Oversized Full Sleeve T-Shirts,899,899,0.00%
107,Black Panther: Wakanda Forever,Hooded T-Shirts,1399,1399,0.00%
108,Solids: Classic Red,Oversized T-Shirts,699,999,30.03%
109,Manchester City: Champs Forever,Men Rugby Polos,1299,1299,0.00%
110,F.R.I.E.N.D.S: Chillin',T-Shirts,599,599,0.00%
111,Looney Tunes: Bugs Bunny,Oversized T-Shirts,999,999,0.00%
112,Tom & Jerry: The Chase,Oversized T-Shirts,1049,1049,0.00%
113,The Boys: The Real Hero,Oversized T-Shirts,1049,1049,0.00%
114,Solids: Pine Green,Oversized T-Shirts,999,999,0.00%
115,Naruto: Jiraya,Oversized T-Shirts,1299,1299,0.00%
116,Supima: Soft Blue,Supima T-Shirts,999,999,0.00%
117,Rick And Morty: Portal To Happiness,Oversized T-Shirts,1299,1299,0.00%
118,Batman: Die A Hero,Oversized T-Shirts,1049,1049,0.00%
119,The Witcher: Basilisk,Oversized T-Shirts,999,999,0.00%
120,Naruto: Uzumaki,Men Relaxed Fit T-Shirts,799,799,0.00%
121,The Boys: F*cking Diabolical,Oversized T-Shirts,699,999,30.03%
122,Minions: Just Perfect,Polos,799,799,0.00%
123,Solids: Rhubarb,Mandarin Polos,849,849,0.00%
124,TSS Original: God Of Death,Oversized T-Shirts,949,949,0.00%
125,"Solids: Black, White (Colourblock)",Hooded T-Shirts,899,899,0.00%
126,Jurassic Park: Logo (Vintage Wash),Oversized T-Shirts,1049,1049,0.00%
127,Batman: The Emblem,Drop Cut T-Shirts,899,899,0.00%
128,Top Gun: Jets,Oversized T-Shirts,1049,1049,0.00%
129,One Piece: Straw Hat Pirates,T-Shirts,599,599,0.00%
130,Batman: Logo (Drip),T-Shirts,999,999,0.00%
131,F.R.I.E.N.D.S: Doodle Fusion,Oversized T-Shirts,1049,1049,0.00%
132,Truck Art: Iron Man,Oversized T-Shirts,949,949,0.00%
133,Marvel: Avenger 63,Polos,1299,1299,0.00%
134,Classic Sustainable Tee: Charcoal Black,Oversized T-Shirts,749,999,25.03%
135,Popeye: Bring Em On,Oversized Full Sleeve T-Shirts,999,999,0.00%
136,Black Panther: Mask 66,Oversized Polos,1299,1299,0.00%
137,Spider-Man: Pavitr Prabhakar,Oversized T-Shirts,949,949,0.00%
138,Supima: Stone Brown,Supima T-Shirts,999,999,0.00%
139,Solids: Maroon,Oversized T-Shirts,799,799,0.00%
140,Solids: Sea Blue,Oversized T-Shirts,799,799,0.00%
141,Truck Art: Deadpool,Oversized T-Shirts,1049,1049,0.00%
142,Courage: Existential Crisis,T-Shirts,699,699,0.00%
143,Solids: White & Berry Colourblock,Oversized Polos,1399,1399,0.00%
144,Hulk: The Incredible,Oversized T-Shirts,1299,1299,0.00%
145,Solids: Pastel Pink,Oversized Full Sleeve T-Shirts,799,1199,33.36%
146,TSS Originals: Beary Cute,T-Shirts,449,699,35.77%
147,Classic Sustainable Tee: Cocoa Brown,Oversized T-Shirts,999,999,0.00%
148,TSS Originals: Scarlet Scale,Men Rugby Polos,1049,1049,0.00%
149,Donald Duck: Stripes,T-Shirts,699,699,0.00%
